sim_time,zone_temp_c,pmv,site_electricity_j,cooling_setpoint_c,heating_setpoint_c,controller,note
1.0,23.06199407905841,-0.8114077708594225,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
2.0,23.01515825817007,-0.8317447156488175,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
3.0,22.960337238434,-0.8544159798597915,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
4.0,22.89947146726375,-0.876073943333054,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
5.0,22.860637395366837,-0.8902355380395828,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
6.0,22.831246686190486,-0.8994788878004513,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
7.083333333333333,22.824702216924592,-0.8995140067342832,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
8.083333333333334,22.875189443230706,-0.8849215924991054,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
9.055555555555555,22.945173821454855,-0.8634281472551191,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
10.055555555555555,23.036771986891132,-0.8377757676206429,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
11.083333333333334,23.141027152411024,-0.8060019806589277,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
12.0,23.201073081274558,-0.7827032143026508,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
13.0,23.301763355459435,-0.7526003816776912,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
14.0,23.262300740588095,-0.7521101007052446,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
15.083333333333334,23.262648815417304,-0.7475887868345812,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
16.055555555555557,23.12658432647533,-0.776858907697523,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
17.083333333333332,23.03321700227897,-0.8017181099291295,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
18.0,23.042794372981042,-0.8010631940574742,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
19.083333333333332,23.04043551112988,-0.800116245319002,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
20.083333333333332,23.02779084288835,-0.8026759005902266,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
21.0,23.01462730593704,-0.8046777417829881,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
22.0,23.08391966065498,-0.7942208026835433,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
23.0,23.09768778025043,-0.7947930590580742,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
24.0,23.26152321606012,-0.7608388887889329,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
25.0,23.280145422355705,-0.7565373458359329,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
26.0,23.281828255054602,-0.7548331226521333,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
27.0,23.275155847106788,-0.7572676565228806,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
28.0,23.263126253106986,-0.7631341103309695,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
29.0,23.28965856448318,-0.7560576468926509,2750.026812004039,24.0,20.0,baseline,fixed baseline schedule
30.083333333333332,24.000010262258748,-0.6068885274859495,5404.800889752595,24.0,20.0,baseline,fixed baseline schedule
31.083333333333332,24.01313489227898,-0.5729636357575916,6243.1126882902045,24.0,20.0,baseline,fixed baseline schedule
32.083333333333336,23.99945533998745,-0.5149183289958241,13510.061998809055,24.0,20.0,baseline,fixed baseline schedule
33.083333333333336,23.999410833353096,-0.4997605662833459,13861.15379008164,24.0,20.0,baseline,fixed baseline schedule
34.083333333333336,23.99936495833741,-0.49325347939186276,14066.459395584505,24.0,20.0,baseline,fixed baseline schedule
35.05555555555556,23.999542719408495,-0.48551891285977317,14310.62669013325,24.0,20.0,baseline,fixed baseline schedule
36.041666666666664,23.999756563560062,-0.4854692218722441,13836.93284249186,24.0,20.0,baseline,fixed baseline schedule
37.083333333333336,23.99928195283118,-0.4700738540682177,14941.977312705127,24.0,20.0,baseline,fixed baseline schedule
38.0,23.99892642134712,-0.46256383351870317,15077.838272294553,24.0,20.0,baseline,fixed baseline schedule
39.083333333333336,23.99929143376523,-0.4574099967654784,15171.547583048263,24.0,20.0,baseline,fixed baseline schedule
40.08333333333333,23.999285578470264,-0.4488006234470863,15104.240123685753,24.0,20.0,baseline,fixed baseline schedule
41.05555555555556,23.999870031590795,-0.48271514563892287,9825.38428224072,24.0,20.0,baseline,fixed baseline schedule
42.05555555555556,23.999965710286425,-0.49791608370372037,7624.909682463596,24.0,20.0,baseline,fixed baseline schedule
43.05555555555556,23.999920429834596,-0.5084919620809627,7326.901533139162,24.0,20.0,baseline,fixed baseline schedule
44.05555555555556,23.999933526626116,-0.5446189778662698,8458.937755443287,24.0,20.0,baseline,fixed baseline schedule
45.08333333333333,23.99997348182172,-0.5631458263456921,8194.857518699962,24.0,20.0,baseline,fixed baseline schedule
46.08333333333333,24.19928426217544,-0.5234403997210938,5053.026812004038,24.0,20.0,baseline,fixed baseline schedule
47.0,24.064533709529616,-0.5530500934106211,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
48.0,23.932025327800513,-0.5880910916414521,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
49.0,23.75446573207044,-0.6357901794538829,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
50.0,23.65941461181015,-0.6696762924946219,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
51.0,23.537604572375603,-0.7096838422928752,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
52.0,23.40886943503228,-0.75568020651191,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
53.0,23.39151855734901,-0.7741391470405705,2750.026812004039,24.0,20.0,baseline,fixed baseline schedule
54.05555555555556,23.999991876738008,-0.6476548424449327,5547.3348714161475,24.0,20.0,baseline,fixed baseline schedule
55.041666666666664,24.00005874645204,-0.6215344225890567,6389.131412614326,24.0,20.0,baseline,fixed baseline schedule
56.03333333333333,23.999777507114356,-0.5464167551370903,13620.610494000324,24.0,20.0,baseline,fixed baseline schedule
57.03333333333333,23.99974556993928,-0.5268302225509768,13910.496340156085,24.0,20.0,baseline,fixed baseline schedule
58.041666666666664,23.99966883331944,-0.5179152661553191,14156.147369775088,24.0,20.0,baseline,fixed baseline schedule
59.041666666666664,23.999561965182142,-0.5214066397001662,14486.315285064426,24.0,20.0,baseline,fixed baseline schedule
60.083333333333336,23.999598363326907,-0.5328379340660674,13802.283865404122,24.0,20.0,baseline,fixed baseline schedule
61.0,23.9990071724957,-0.5080796937556387,14888.986515992663,24.0,20.0,baseline,fixed baseline schedule
62.05555555555556,23.999536659947527,-0.4972479743719321,14880.238934411456,24.0,20.0,baseline,fixed baseline schedule
63.05555555555556,23.999567443367372,-0.4870358318638828,15149.002709953365,24.0,20.0,baseline,fixed baseline schedule
64.05555555555556,23.999495625184895,-0.4749192134602366,15256.484924221415,24.0,20.0,baseline,fixed baseline schedule
65.05555555555556,23.999868740558526,-0.5135777978769228,10009.884974013188,24.0,20.0,baseline,fixed baseline schedule
66.05555555555556,23.999947638237145,-0.5332797082953494,8035.3228274634,24.0,20.0,baseline,fixed baseline schedule
67.05555555555556,23.99996002497837,-0.5372482576022646,7692.207576428327,24.0,20.0,baseline,fixed baseline schedule
68.08333333333333,23.99997720608595,-0.5456952343752847,9067.063637527597,24.0,20.0,baseline,fixed baseline schedule
69.08333333333333,23.99997479604152,-0.5478204503333381,8868.814511968552,24.0,20.0,baseline,fixed baseline schedule
70.08333333333333,24.325447256767074,-0.48888350126759694,5053.026812004038,24.0,20.0,baseline,fixed baseline schedule
71.0,24.508625253806684,-0.44968655326528906,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
72.0,24.368466873573364,-0.4835215569780476,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
73.0,24.262243549663687,-0.5107391412350831,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
74.0,24.156680745381028,-0.541940265001758,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
75.0,24.055011887074656,-0.567278874580175,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
76.0,24.016746390721877,-0.5733379010002997,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
77.0,24.018317143170314,-0.5619355877942417,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
78.08333333333333,24.11853637676277,-0.5239223579999008,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
79.05555555555556,24.42014536646112,-0.44483125177128013,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
80.05555555555556,24.214608839002203,-0.486520443248892,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
81.05555555555556,24.56590238926803,-0.4039094286221564,2445.069186056393,24.0,20.0,baseline,fixed baseline schedule
82.08333333333333,24.00285497966837,-0.5059512729822869,2831.1342773244396,24.0,20.0,baseline,fixed baseline schedule
83.05555555555556,24.349850513277698,-0.42842826254585775,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
84.05555555555556,24.000056349051363,-0.4888772585385703,2865.0302396446723,24.0,20.0,baseline,fixed baseline schedule
85.05555555555556,24.44308078357809,-0.39832120195840254,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
86.0,24.000688789510903,-0.4734417418382481,2961.2349941741068,24.0,20.0,baseline,fixed baseline schedule
87.04166666666667,24.48877750825393,-0.37511475897344115,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
88.08333333333333,24.000922927525117,-0.46557592524873653,3857.2789099187767,24.0,20.0,baseline,fixed baseline schedule
89.04166666666667,24.50905522756467,-0.3672880556128652,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
90.05555555555556,24.000445885049125,-0.45600033942632573,3697.963504268434,24.0,20.0,baseline,fixed baseline schedule
91.05555555555556,24.50316553243003,-0.3570458739298661,1925.0187684040384,24.0,20.0,baseline,fixed baseline schedule
92.08333333333333,24.002579274571502,-0.4476522593354171,5266.353000279603,24.0,20.0,baseline,fixed baseline schedule
93.05555555555556,24.440928152339097,-0.35830301743814025,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
94.0,24.000681228624206,-0.4378876184352518,5237.873384407831,24.0,20.0,baseline,fixed baseline schedule
95.05555555555556,24.438806152463506,-0.35394110902879306,4228.018768404038,24.0,20.0,baseline,fixed baseline schedule
96.0,24.000719633440006,-0.4346873764883672,5790.9437900914545,24.0,20.0,baseline,fixed baseline schedule
97.05555555555556,24.464242998640735,-0.3501052193739581,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
98.0,24.000778898709395,-0.44672031494806885,5778.864358719448,24.0,20.0,baseline,fixed baseline schedule
99.05555555555556,24.438514832950787,-0.37628755407780873,4778.024130804039,24.0,20.0,baseline,fixed baseline schedule
100.0,24.001098431632578,-0.4706087868754363,5732.455018132602,24.0,20.0,baseline,fixed baseline schedule
101.05555555555556,24.447240838392695,-0.3811195807111396,2750.026812004039,24.0,20.0,baseline,fixed baseline schedule
102.0,23.999769318275202,-0.492962137156905,7448.134988553382,24.0,20.0,baseline,fixed baseline schedule
103.05555555555556,23.999977405679594,-0.4470142604609524,9090.981880197238,24.0,20.0,baseline,fixed baseline schedule
104.04166666666667,23.99952247286736,-0.3856536971700558,16831.574992117457,24.0,20.0,baseline,fixed baseline schedule
105.04166666666667,23.999451481563845,-0.3736243304572457,17293.01254132922,24.0,20.0,baseline,fixed baseline schedule
106.05555555555556,23.999294437704993,-0.3695629203608385,17510.814545335554,24.0,20.0,baseline,fixed baseline schedule
107.05555555555556,23.99928309548298,-0.36257807800732517,17932.487061204356,24.0,20.0,baseline,fixed baseline schedule
108.0,23.998826481783233,-0.3668719797878781,16999.268402544167,24.0,20.0,baseline,fixed baseline schedule
109.0,23.998285996870877,-0.358220897210341,18220.31995156579,24.0,20.0,baseline,fixed baseline schedule
110.0,23.99839019917486,-0.35616912451732247,18536.08374913613,24.0,20.0,baseline,fixed baseline schedule
111.08333333333333,23.998957244090636,-0.35323037691299336,18696.14515480511,24.0,20.0,baseline,fixed baseline schedule
112.08333333333333,23.998932593498658,-0.3460023999673394,18539.822206758538,24.0,20.0,baseline,fixed baseline schedule
113.05555555555556,23.999760909653837,-0.37556203505635033,12996.751033736256,24.0,20.0,baseline,fixed baseline schedule
114.05555555555556,23.99984570994909,-0.39348500028648103,10540.185955051995,24.0,20.0,baseline,fixed baseline schedule
115.05555555555556,23.999898785247737,-0.39635011760133326,10030.494928901338,24.0,20.0,baseline,fixed baseline schedule
116.08333333333333,23.99988849743893,-0.4053821379658691,11137.552380724705,24.0,20.0,baseline,fixed baseline schedule
